ProductID,TotalQuantity
1,531
9,6156
13,169
26,11660
30,690
39,2715
43,6189
47,564
56,7840
60,960
73,5770
77,847
86,14750
90,1890
103,9105
107,1498
119,8722
123,1845
136,7040
140,1680
149,15019
153,3506
166,8040
170,2550
183,9618
187,2431
196,7700
200,2400
213,15774
217,5208
226,2920
229,7330
230,920
233,2330
246,11250
250,3250
259,8393
263,2630
276,15600
280,7000
289,3172
293,8052
297,3267
306,12150
310,4340
323,9924
327,3597
336,18480
340,7820
353,11998
357,5355
369,11349
373,4849
383,887
386,8900
390,4680
399,20769
403,8866
416,13800
420,5880
433,12181
437,6555
446,9500
450,5400
463,24175
467,10274
476,2940
479,9830
480,1440
483,4830
500,7500
